Province,Population,Electors,Stationary Polls,Mobile Polls,Advance Polls,Total Polls
"Newfoundland and Labrador/Terre-Neuve-et-Labrador",512930,405032,1326,24,95,1445
"Prince Edward Island/Île-du-Prince-Édouard",135294,109031,307,8,16,331
"Nova Scotia/Nouvelle-Écosse",908007,706932,2061,27,137,2225
"New Brunswick/Nouveau-Brunswick",729498,597440,1741,51,124,1916
"Quebec/Québec",7237479,5800109,14787,275,818,15880
"Ontario",11410046,8294928,21677,313,1040,23030
"Manitoba",1119583,841061,2301,54,143,2498
"Saskatchewan",978933,723922,2133,51,153,2337
"Alberta",2974807,2171584,5779,149,303,6231
"British Columbia/Colombie-Britannique",3907738,2750577,7207,157,371,7735
"Yukon",28674,20345,74,1,17,92
"Northwest Territories/Territoires du Nord-Ouest",37360,28619,78,0,7,85
"Nunavut",26745,17041,43,0,11,54
