year,candidate,former_party,district,province,pct,former_party_pct,last_pct,scandal
2015,Scott Andrews,Liberal,Avalon,Newfoundland and Labrador,0.1782,0.559,0.4397,0
2015,Jean-François Fortin,Bloc,Avignon--La Mitis--Matane--Matapédia,Quebec,0.1163,0.2102,0.3605,0
2015,Manon Perreault,NDP,Montcalm,Quebec,0.0117,0.2345,0.5297,1
2015,Brent Rathgeber,Conservative,Edmonton--St. Albert,Alberta,0.1968,0.4524,0.6346,0
2011,Helena Guergis,Conservative,Simcoe--Grey,Ontario,0.1354,0.4937,0.55,0.5
2008,Bill Casey,Conservative,Cumberland--Colchester--Musquodoboit Valley,Nova Scotia,0.6901,0.0883,0.5204,0
2008,Blair Wilson,Liberal,West Vancouver--Sunshine Coast--Sea to Sky Country,British Columbia,0.1440,0.2662,0.3751,0
2006,Bev Desjarlais,NDP,Churchill,Manitoba,0.1716,0.2841,0.4344,0
2004,Jean Guy Carignan,Liberal,Louis-Saint-Laurent,Quebec,0.0127,0.2257,0.3794,1
2004,Larry Spencer,Conservative,Regina--Lumsden--Lake Centre,Saskatchewan,0.048615146,0.332138937,0.429,0.5
2004,Jim Pankiw,Conservative,Saskatoon--Humboldt,Saskatchewan,0.2,0.267,0.443,0
2004,Chuck Cadman,Conservative,Surrey North,British Columbia,0.4379,0.1259,0.561,0
